fecha_hora,id_punto,parque,lat,lon,presencia,id_rana,id_usuario,observaciones
2026-04-17 00:00:00,1,El Bosque,-39.837605,-73.243728,0,0,1,Sin avistamiento
2026-04-17 00:00:00,2,Saval,-39.805459,-73.259861,1,5,2,Múltiples individuos
2026-04-17 00:00:00,3,Kramer,-39.832938,-73.226447,0,0,1,Sin avistamiento
2026-04-17 00:00:00,4,Harnecker,-39.820096,-73.234262,0,0,3,Sin avistamiento
2026-04-17 00:00:00,5,Collico,-39.819941,-73.199953,0,0,2,Sin avistamiento
2026-04-17 00:01:00,1,El Bosque,-39.838450,-73.243681,0,0,2,Sin avistamiento
2026-04-17 00:01:00,2,Saval,-39.802429,-73.259148,0,0,1,Sin avistamiento
2026-04-17 00:01:00,3,Kramer,-39.832637,-73.227377,0,0,1,Sin avistamiento
2026-04-17 00:01:00,4,Harnecker,-39.820678,-73.236715,0,0,3,Sin avistamiento
2026-04-17 00:01:00,5,Collico,-39.818696,-73.200500,0,0,3,Sin avistamiento
2026-04-17 00:02:00,1,El Bosque,-39.838134,-73.242426,0,0,2,Sin avistamiento
2026-04-17 00:02:00,2,Saval,-39.801728,-73.257474,0,0,2,Sin avistamiento
2026-04-17 00:02:00,3,Kramer,-39.833996,-73.228840,0,0,2,Sin avistamiento
2026-04-17 00:02:00,4,Harnecker,-39.818830,-73.236636,0,0,3,Sin avistamiento
2026-04-17 00:02:00,5,Collico,-39.819105,-73.201051,0,0,2,Sin avistamiento
2026-04-17 00:03:00,1,El Bosque,-39.837929,-73.245288,0,0,3,Sin avistamiento
2026-04-17 00:03:00,2,Saval,-39.805247,-73.257516,0,0,3,Sin avistamiento
2026-04-17 00:03:00,3,Kramer,-39.833702,-73.225246,0,0,1,Sin avistamiento
2026-04-17 00:03:00,4,Harnecker,-39.818578,-73.235808,0,0,3,Sin avistamiento
2026-04-17 00:03:00,5,Collico,-39.817967,-73.199747,0,0,2,Sin avistamiento
2026-04-17 00:04:00,1,El Bosque,-39.838918,-73.243483,0,0,1,Sin avistamiento
2026-04-17 00:04:00,2,Saval,-39.801857,-73.257078,1,1,2,Múltiples individuos
2026-04-17 00:04:00,3,Kramer,-39.833752,-73.228578,0,0,1,Sin avistamiento
2026-04-17 00:04:00,4,Harnecker,-39.820646,-73.234895,0,0,2,Sin avistamiento
2026-04-17 00:04:00,5,Collico,-39.820132,-73.199596,0,0,1,Sin avistamiento
2026-04-17 00:05:00,1,El Bosque,-39.839088,-73.243703,0,0,2,Sin avistamiento
2026-04-17 00:05:00,2,Saval,-39.802970,-73.259727,0,0,2,Sin avistamiento
2026-04-17 00:05:00,3,Kramer,-39.832729,-73.226924,0,0,1,Sin avistamiento
2026-04-17 00:05:00,4,Harnecker,-39.819629,-73.236701,0,0,3,Sin avistamiento
2026-04-17 00:05:00,5,Collico,-39.816607,-73.199987,1,3,1,Múltiples individuos
2026-04-17 00:06:00,1,El Bosque,-39.841230,-73.245282,0,0,3,Sin avistamiento
2026-04-17 00:06:00,2,Saval,-39.802807,-73.257850,0,0,1,Sin avistamiento
2026-04-17 00:06:00,3,Kramer,-39.834410,-73.225587,0,0,1,Sin avistamiento
2026-04-17 00:06:00,4,Harnecker,-39.819814,-73.235843,0,0,3,Sin avistamiento
2026-04-17 00:06:00,5,Collico,-39.818765,-73.197493,0,0,3,Sin avistamiento
2026-04-17 00:07:00,1,El Bosque,-39.839501,-73.243568,1,3,1,Ejemplar adulto
2026-04-17 00:07:00,2,Saval,-39.803065,-73.260277,0,0,3,Sin avistamiento
2026-04-17 00:07:00,3,Kramer,-39.833994,-73.226519,1,1,2,Ejemplar adulto
2026-04-17 00:07:00,4,Harnecker,-39.822180,-73.236191,0,0,1,Sin avistamiento
2026-04-17 00:07:00,5,Collico,-39.817116,-73.200294,0,0,1,Sin avistamiento
2026-04-17 00:08:00,1,El Bosque,-39.839126,-73.243372,0,0,3,Sin avistamiento
2026-04-17 00:08:00,2,Saval,-39.803053,-73.258218,0,0,2,Sin avistamiento
2026-04-17 00:08:00,3,Kramer,-39.834168,-73.228297,0,0,3,Sin avistamiento
2026-04-17 00:08:00,4,Harnecker,-39.821453,-73.233713,0,0,3,Sin avistamiento
2026-04-17 00:08:00,5,Collico,-39.817975,-73.197527,0,0,2,Sin avistamiento
2026-04-17 00:09:00,1,El Bosque,-39.838922,-73.242127,0,0,3,Sin avistamiento
2026-04-17 00:09:00,2,Saval,-39.805465,-73.258776,1,1,1,Vocalización
2026-04-17 00:09:00,3,Kramer,-39.834612,-73.227587,0,0,2,Sin avistamiento
2026-04-17 00:09:00,4,Harnecker,-39.820500,-73.236970,0,0,1,Sin avistamiento
2026-04-17 00:09:00,5,Collico,-39.817919,-73.200144,0,0,2,Sin avistamiento
2026-04-17 00:10:00,1,El Bosque,-39.839490,-73.245734,0,0,1,Sin avistamiento
2026-04-17 00:10:00,2,Saval,-39.802538,-73.257245,1,5,3,Ejemplar adulto
2026-04-17 00:10:00,3,Kramer,-39.833801,-73.227942,0,0,2,Sin avistamiento
2026-04-17 00:10:00,4,Harnecker,-39.818837,-73.235038,0,0,3,Sin avistamiento
2026-04-17 00:10:00,5,Collico,-39.817451,-73.200332,0,0,3,Sin avistamiento
2026-04-17 00:11:00,1,El Bosque,-39.840045,-73.242052,0,0,2,Sin avistamiento
2026-04-17 00:11:00,2,Saval,-39.801961,-73.258670,0,0,2,Sin avistamiento
2026-04-17 00:11:00,3,Kramer,-39.835794,-73.226135,0,0,2,Sin avistamiento
2026-04-17 00:11:00,4,Harnecker,-39.819347,-73.234307,0,0,2,Sin avistamiento
2026-04-17 00:11:00,5,Collico,-39.818548,-73.197932,0,0,3,Sin avistamiento
2026-04-17 00:12:00,1,El Bosque,-39.839593,-73.243403,0,0,2,Sin avistamiento
2026-04-17 00:12:00,2,Saval,-39.803212,-73.258070,1,1,1,Ejemplar adulto
2026-04-17 00:12:00,3,Kramer,-39.836291,-73.226981,0,0,3,Sin avistamiento
2026-04-17 00:12:00,4,Harnecker,-39.821721,-73.234920,0,0,2,Sin avistamiento
2026-04-17 00:12:00,5,Collico,-39.820168,-73.201074,1,2,3,Ejemplar adulto
2026-04-17 00:13:00,1,El Bosque,-39.840175,-73.242477,0,0,2,Sin avistamiento
2026-04-17 00:13:00,2,Saval,-39.803403,-73.257833,0,0,2,Sin avistamiento
2026-04-17 00:13:00,3,Kramer,-39.835329,-73.228827,0,0,3,Sin avistamiento
